ticker,name,close,change,volume,market_cap,logo,sector,subsector,type,subtype,asset_class,turnover_proxy
N1SC34,N1SC34,424.84,-2.51,30.0,394612264550.182,https://icons.brapi.dev/icons/BRAPI.svg,Transportation,,bdr,bdr,AÇÃO GLOBAL / BDR,12745.199999999999
BLPA39,GLOBAL X MLP ETF,35.69,0.79,30.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,bdr,bdr,AÇÃO GLOBAL / BDR,1070.6999999999998
CPRL34,CPRL34,122.88,4.27,30.0,428868432020.26056,https://icons.brapi.dev/icons/BRAPI.svg,Transportation,,bdr,bdr,AÇÃO GLOBAL / BDR,3686.3999999999996
I1RP34,I1RP34,1248.19,0.41,30.0,546556799188.7676,https://icons.brapi.dev/icons/BRAPI.svg,Producer Manufacturing,,bdr,bdr,AÇÃO GLOBAL / BDR,37445.700000000004
HALI34,HALI34,180.0,3.5,30.0,142277698980.75922,https://icons.brapi.dev/icons/BRAPI.svg,Industrial Services,,bdr,bdr,AÇÃO GLOBAL / BDR,5400.0
CHPX39,CHPX39,50.63,-0.08,29.0,,https://icons.brapi.dev/icons/BRAPI.svg,,,bdr,bdr,AÇÃO GLOBAL / BDR,1468.27
A1EG34,A1EG34,48.6,-0.31,29.0,72995496741.86583,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,1409.4
BMIN4F,BCO MERCANTIL DE INVESTIMENTOS S.A.,17.5,0.0,29.0,87197008.0,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,stock,stock,AÇÃO B3,507.5
BDLL4F,BARDELLA S.A. INDUSTRIAS MECANICAS,3.5,-2.78,29.0,6215394.0,https://icons.brapi.dev/icons/BRAPI.svg,Producer Manufacturing,,stock,stock,AÇÃO B3,101.5
OCRE11,OCRE11,63.8,0.0,29.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,Multicategoria,fund,fii,FII,1850.1999999999998
F2VR34,F2VR34,2.37,-0.42,29.0,1686300369.2147686,https://icons.brapi.dev/icons/BRAPI.svg,Technology Services,,bdr,bdr,AÇÃO GLOBAL / BDR,68.73
PMRL11,PMRL11,109.67,0.05,29.0,,https://icons.brapi.dev/icons/BRAPI.svg,,,fund,fii,FII,3180.43
GLCR11,GLCR11,98.67,0.15,28.0,,https://icons.brapi.dev/icons/BRAPI.svg,,Multicategoria,fund,fii,FII,2762.76
BMBB39,ISHARES MBS ETF,48.56,0.31,28.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,bdr,bdr,AÇÃO GLOBAL / BDR,1359.68
OSXB3F,OSX BRASIL S.A.,0.78,-2.5,28.0,2833234.0,https://icons.brapi.dev/icons/BRAPI.svg,Industrial Services,,stock,stock,AÇÃO B3,21.84
CNIC34,CNIC34,27.9,0.65,27.0,401297050324.1701,https://icons.brapi.dev/icons/BRAPI.svg,Transportation,,bdr,bdr,AÇÃO GLOBAL / BDR,753.3
HCRI11,HCRI11,274.0,0.45,27.0,,https://icons.brapi.dev/icons/BRAPI.svg,,Hospital,fund,fii,FII,7398.0
B1AX34,B1AX34,70.07,-0.5,27.0,72723560265.2106,https://icons.brapi.dev/icons/BRAPI.svg,Health Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,1891.8899999999999
RSUL4F,METALURGICA RIOSULENSE S.A.,41.49,0.9,27.0,102990485.0,https://icons.brapi.dev/icons/BRAPI.svg,Producer Manufacturing,,stock,stock,AÇÃO B3,1120.23
TMPS11,TMPS11,72.82,0.5,27.0,,https://icons.brapi.dev/icons/BRAPI.svg,,Outros,fund,fii,FII,1966.1399999999999
ATSA11,ATSA11,56.01,0.02,27.0,,https://icons.brapi.dev/icons/BRAPI.svg,,Shoppings,fund,fii,FII,1512.27
BIXJ39,ISHARES GLOBAL HEALTHCARE ETF,65.69,-1.4,26.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,bdr,bdr,AÇÃO GLOBAL / BDR,1707.94
C1OO34,C1OO34,38.6,3.21,26.0,77687704269.37077,https://icons.brapi.dev/icons/BRAPI.svg,Health Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,1003.6
BULZ11,BULZ11,78.65,0.51,26.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,fund,etf,ETF,2044.9
VVMR11,VVMR11,84.96,2.36,25.0,,https://icons.brapi.dev/icons/BRAPI.svg,,Multicategoria,fund,fii,FII,2124.0
W1MB34,W1MB34,392.92,2.99,25.0,464587383738.9495,https://icons.brapi.dev/icons/BRAPI.svg,Industrial Services,,bdr,bdr,AÇÃO GLOBAL / BDR,9823.0
EVTC31,EVERTEC INC,162.36,-1.6,25.0,9937006463.858553,https://icons.brapi.dev/icons/BRAPI.svg,Commercial Services,,bdr,bdr,AÇÃO GLOBAL / BDR,4059.0000000000005
S1RP34,S1RP34,4.77,0.42,25.0,10117783406.136244,https://icons.brapi.dev/icons/BRAPI.svg,Health Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,119.24999999999999
CGAS3F,CIA GAS DE SAO PAULO - COMGAS,124.88,0.38,25.0,16401315274.0,https://icons.brapi.dev/icons/BRAPI.svg,Utilities,,stock,stock,AÇÃO B3,3122.0
PLAS3F,PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,2.44,0.41,25.0,32181831.000000004,https://icons.brapi.dev/icons/BRAPI.svg,Producer Manufacturing,,stock,stock,AÇÃO B3,61.0
N1IS34,N1IS34,222.2,1.41,25.0,104939622610.50443,https://icons.brapi.dev/icons/BRAPI.svg,Utilities,,bdr,bdr,AÇÃO GLOBAL / BDR,5555.0
PRAF11,PRAF11,100.85,2.14,25.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,fund,etf,ETF,2521.25
J2BL34,J2BL34,237.6,3.3,24.0,201814580426.41705,https://icons.brapi.dev/icons/BRAPI.svg,Producer Manufacturing,,bdr,bdr,AÇÃO GLOBAL / BDR,5702.4
V2EE34,V2EE34,42.98,3.62,24.0,213414845517.4207,https://icons.brapi.dev/icons/BRAPI.svg,Technology Services,,bdr,bdr,AÇÃO GLOBAL / BDR,1031.52
S1LG34,S1LG34,74.69,2.79,24.0,22895235709.82839,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,1792.56
L2SC34,L2SC34,86.9,0.86,24.0,94856708361.93446,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,2085.6000000000004
BEWL39,ISHARES MSCI SWITZERLAND ETF,66.35,0.88,24.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,bdr,bdr,AÇÃO GLOBAL / BDR,1592.3999999999999
AZUL99,AZUL S.A.,7.2,-9.32,24.0,7990335869.0,https://icons.brapi.dev/icons/BRAPI.svg,Transportation,,stock,unit,AÇÃO/UNIT B3,172.8
DAMT11,DAMT11,13.98,0.14,24.0,,https://icons.brapi.dev/icons/DAMT11.svg,,Shoppings,fund,fii,FII,335.52
BHEF39,ISHARES CURRENCY HEDGED MSCI EAFE ETF,60.42,1.41,24.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,bdr,bdr,AÇÃO GLOBAL / BDR,1450.08
MCOR34,MCOR34,74.19,-2.28,23.0,439908189469.57874,https://icons.brapi.dev/icons/BRAPI.svg,Commercial Services,,bdr,bdr,AÇÃO GLOBAL / BDR,1706.37
BCAT39,GLOBAL X S&P 500 CATHOLIC VALUES ETF,47.5,1.45,23.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,bdr,bdr,AÇÃO GLOBAL / BDR,1092.5
BILB34,BILB34,150.9,0.9,23.0,831300515175.2554,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,3470.7000000000003
LMTB34,LMTB34,3178.42,2.23,23.0,717707656703.0682,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,73103.66
G1LO34,G1LO34,9.87,0.82,23.0,9204004108.164328,https://icons.brapi.dev/icons/BRAPI.svg,Technology Services,,bdr,bdr,AÇÃO GLOBAL / BDR,227.01
MOOO34,MOOO34,68.81,1.34,22.0,565090670000.0,https://icons.brapi.dev/icons/BRAPI.svg,Consumer Non-Durables,,bdr,bdr,AÇÃO GLOBAL / BDR,1513.8200000000002
BKCH39,GLOBAL X BLOCKCHAIN ETF,27.58,-1.99,22.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,bdr,bdr,AÇÃO GLOBAL / BDR,606.76
ERPA11,ERPA11,126.05,-0.36,22.0,,https://icons.brapi.dev/icons/BRAPI.svg,,Multicategoria,fund,fii,FII,2773.1
PABY11,PABY11,26.41,0.61,22.0,,https://icons.brapi.dev/icons/PABY11.svg,,Multicategoria,fund,fii,FII,581.02
CTAX3F,CTAX3F,1.52,-5.0,22.0,12176409.0,https://icons.brapi.dev/icons/BRAPI.svg,Commercial Services,,stock,stock,AÇÃO B3,33.44
BONY34,BONY34,851.76,1.12,22.0,572476850759.2303,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,18738.72
H1FC34,H1FC34,450.0,-1.42,21.0,84935009027.5611,https://icons.brapi.dev/icons/BRAPI.svg,Energy Minerals,,bdr,bdr,AÇÃO GLOBAL / BDR,9450.0
E1MN34,E1MN34,191.76,10.59,21.0,43877388351.53406,https://icons.brapi.dev/icons/BRAPI.svg,Process Industries,,bdr,bdr,AÇÃO GLOBAL / BDR,4026.96
PRSV11,PRSV11,30.5,2.45,21.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,Escritórios,fund,fii,FII,640.5
BRIP11,BRIP11,355.95,0.0,21.0,,https://icons.brapi.dev/icons/BRAPI.svg,,Multicategoria,fund,fii,FII,7474.95
VOTS11,VOTS11,81.97,-0.15,21.0,,https://icons.brapi.dev/icons/VOTS11.svg,,Multicategoria,fund,fii,FII,1721.37
SILK11,SILK11,64.97,0.9,21.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,fund,etf,ETF,1364.37
CEEB5F,CIA ELETRICIDADE EST. DA BAHIA - COELBA,41.5,3.75,21.0,8083178872.0,https://icons.brapi.dev/icons/BRAPI.svg,Utilities,,stock,stock,AÇÃO B3,871.5
RVEE3F,REVEE S.A.,0.75,-2.6,20.0,7628363.0,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,stock,stock,AÇÃO B3,15.0
N1GG34,N1GG34,69.37,1.85,20.0,423211705620.755,https://icons.brapi.dev/icons/BRAPI.svg,Utilities,,bdr,bdr,AÇÃO GLOBAL / BDR,1387.4
SNSY5F,SANSUY S.A. INDUSTRIA DE PLASTICOS,2.7,0.0,20.0,37358413.0,https://icons.brapi.dev/icons/BRAPI.svg,Producer Manufacturing,,stock,stock,AÇÃO B3,54.0
O2NS34,O2NS34,54.11,1.12,20.0,165118366276.65106,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,1082.2
R2NG34,R2NG34,12.8,-2.88,20.0,29433425231.409256,https://icons.brapi.dev/icons/BRAPI.svg,Technology Services,,bdr,bdr,AÇÃO GLOBAL / BDR,256.0
R1HI34,R1HI34,216.92,9.15,20.0,23304216666.666664,https://icons.brapi.dev/icons/BRAPI.svg,Commercial Services,,bdr,bdr,AÇÃO GLOBAL / BDR,4338.4
BSIZ39,ISHARES MSCI USA SIZE FACTOR ETF,64.38,1.31,20.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,bdr,bdr,AÇÃO GLOBAL / BDR,1287.6
DBAG34,DBAG34,201.6,1.72,20.0,372159968644.0936,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,4032.0
BOBR4F,BOMBRIL S.A.,1.29,-2.27,20.0,324165131.0,https://icons.brapi.dev/icons/BRAPI.svg,Consumer Non-Durables,,stock,stock,AÇÃO B3,25.8
VFCO34,VFCO34,37.84,1.28,20.0,30134182043.681747,https://icons.brapi.dev/icons/BRAPI.svg,Consumer Non-Durables,,bdr,bdr,AÇÃO GLOBAL / BDR,756.8000000000001
SBUB34,SBUB34,565.63,0.08,19.0,643510158497.1399,https://icons.brapi.dev/icons/BRAPI.svg,Consumer Services,,bdr,bdr,AÇÃO GLOBAL / BDR,10746.97
HGIC11,HGIC11,51.15,-0.1,19.0,,https://icons.brapi.dev/icons/HGIC11.svg,,Multicategoria,fund,fii,FII,971.85
N1XP34,N1XP34,61.2,0.59,19.0,304105010026.0011,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,1162.8
NORD3F,NORDON INDUSTRIAS METALURGICAS S.A.,1.31,-9.03,18.0,9866014.0,https://icons.brapi.dev/icons/BRAPI.svg,Producer Manufacturing,,stock,stock,AÇÃO B3,23.580000000000002
A1PA34,A1PA34,211.68,2.34,18.0,72876027347.89392,https://icons.brapi.dev/icons/BRAPI.svg,Energy Minerals,,bdr,bdr,AÇÃO GLOBAL / BDR,3810.2400000000002
P2AX34,P2AX34,29.82,0.0,18.0,9760844862.194489,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,536.76
CSXC34,CSXC34,129.87,0.81,18.0,483011378185.12744,https://icons.brapi.dev/icons/BRAPI.svg,Transportation,,bdr,bdr,AÇÃO GLOBAL / BDR,2337.66
RBFY11,RBFY11,74.99,0.0,18.0,,https://icons.brapi.dev/icons/BRAPI.svg,,Residencial,fund,fii,FII,1349.82
URHF11,URHF11,57.01,0.0,17.0,,https://icons.brapi.dev/icons/BRAPI.svg,,Multicategoria,fund,fii,FII,969.17
L2IV34,L2IV34,54.5,2.64,17.0,23550110904.836193,https://icons.brapi.dev/icons/BRAPI.svg,Health Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,926.5
ULEV34,ULEV34,321.0,0.1,17.0,699287543424.4316,https://icons.brapi.dev/icons/BRAPI.svg,Consumer Non-Durables,,bdr,bdr,AÇÃO GLOBAL / BDR,5457.0
A1LN34,A1LN34,58.92,0.2,17.0,158038109485.1794,https://icons.brapi.dev/icons/BRAPI.svg,Health Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,1001.64
H1DB34,H1DB34,24.52,1.7,17.0,610346736623.4619,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,416.84
HAGA3F,HAGA S.A. INDUSTRIA E COMERCIO,2.51,4.15,17.0,22411666.0,https://icons.brapi.dev/icons/BRAPI.svg,Consumer Durables,,stock,stock,AÇÃO B3,42.669999999999995
CLOV34,CLOV34,23.08,2.3,16.0,12401953780.551222,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,369.28
N2VC34,N2VC34,8.95,-1.65,16.0,10524330291.211649,https://icons.brapi.dev/icons/BRAPI.svg,Health Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,143.2
BBMC39,BBMC39,82.08,5.07,16.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,bdr,bdr,AÇÃO GLOBAL / BDR,1313.28
DOHL3F,DOHLER S.A.,6.51,8.5,16.0,430932927.0,https://icons.brapi.dev/icons/BRAPI.svg,Process Industries,,stock,stock,AÇÃO B3,104.16
