ticker,cnpj,company_name,sector,industry,market_cap,revenue,operating_income,net_income,equity,total_cash,total_debt,roe,operating_margin,profit_margin,debt_to_equity,revenue_growth,earnings_growth,earnings_yield,book_to_price,sales_yield,ev_to_ebit,raw_pe,raw_pb,raw_ev_ebitda,enterprise_value,ebitda,fcf,beta,trailing_eps,book_value_per_share,fundamental_source
BBDC3,,Banco Bradesco S.A.,Financial Services,Banks - Regional,158038196224.0,93278076928.0,,24318943232.0,90933896471.39601,280313430016.0,838676250624.0,0.13763,0.34515,0.26071,9.222922179385685,0.072,0.178,0.1509303877356382,1.181874535744909,0.5902248896576219,,6.625571,0.8461135,,713198993408.0,,,0.233,2.19,17.149,Yahoo Finance
BBDC4,,Banco Bradesco S.A.,Financial Services,Banks - Regional,179834273792.0,93278076928.0,,24318943232.0,95682289940.996,280313430016.0,838676250624.0,0.13763,0.34515,0.26071,8.765219259919292,0.072,0.178,0.13240628279993263,1.0368197503379515,0.5186890961390782,,7.5525117,0.9644878,,734657576960.0,,,0.233,2.19,17.149,Yahoo Finance
BBSE3,,BB Seguridade Participações S.A.,Financial Services,Insurance - Diversified,71729135616.0,10450822144.0,9979697152.0,9189316608.0,10890404331.84,6470633984.0,0.0,0.85944,0.964,0.87929,0.0,-0.009,-0.001,0.12801082090830437,0.1518267874985216,0.14569842581051298,6.539126298328777,7.8118396,6.586453,6.539,65258500096.0,9979697152.0,5830927872.0,0.08,4.73,5.61,Yahoo Finance
BEEF3,,Minerva S.A.,Consumer Defensive,Packaged Foods,3171657472.0,57227616256.0,4844455936.0,458624992.0,1264698355.7120001,14934947840.0,29384437760.0,0.2322,0.068280004,0.00801,23.23434487542853,0.013,-0.575,0.12187498819336053,0.3987499985046875,18.043441563667063,3.7619022455280313,8.205129,2.507837,3.762,18224369664.0,4844455936.0,404387360.0,0.26,0.39,1.276,Yahoo Finance
BHIA3,,Grupo Casas Bahia S.A.,Consumer Cyclical,Specialty Retail,669076352.0,29621999616.0,1520999936.0,-3644000000.0,2756391712.4709997,1532000000.0,11402999808.0,-1.8846699,0.036679998,-0.12302,4.136930087406788,0.061,,-5.446314145026007,4.119696971569559,44.27297352156305,6.773537442147532,,0.2427363,6.774,10302550016.0,1520999936.0,1819874944.0,0.24,-6.18,2.719,Yahoo Finance
BLAU3,,Blau Farmacêutica S.A.,Healthcare,Drug Manufacturers - Specialty & Generic,2083484416.0,1764354944.0,380079008.0,243788992.0,2271737091.4350004,542184000.0,560288000.0,0.108610004,0.19597,0.13817,0.24663417351964784,0.166,-0.567,0.10421285684436174,1.0903547069969393,0.8468289613547079,5.073212146459823,9.595745,0.91713274,5.073,1928221440.0,380079008.0,-255932880.0,0.458,0.94,9.835,Yahoo Finance
BMGB4,,Banco BMG S.A.,Financial Services,Banks - Regional,3249801216.0,2103911936.0,,592572032.0,1770441050.8899999,4216894976.0,19073495040.0,0.1351,0.42174,0.28165,10.773301393125607,-0.041,0.086,0.1984126984126984,1.524801545172894,0.6473971163656552,,5.04,0.65582305,,18130659328.0,,,0.376,1.0,7.685,Yahoo Finance
BMOB3,,Bemobi Mobile Tech S.A.,Communication Services,Entertainment,1899135232.0,1791790976.0,160592992.0,159700000.0,955645550.898,349216000.0,45595000.0,0.15548,0.100039996,0.08913,0.047711204177276124,0.246,0.085,0.08241999614604098,0.5032003542530494,0.9434772973555156,10.248700267070184,12.132978,1.98728,10.249,1645869440.0,160592992.0,-24405124.0,0.068,1.88,11.478,Yahoo Finance
BPAC11,,Banco BTG Pactual S.A.,Financial Services,Capital Markets,171847565312.0,45732073472.0,,18199445504.0,55776227727.384,499620380672.0,505420185600.0,0.24406,0.52285,0.39796,9.061569887270414,0.109,0.2,0.012039215577685506,0.32723527132859775,0.2661199964571541,,83.06189,3.0559053,,255719178240.0,,,0.323,0.614,16.689,Yahoo Finance
BRAP4,,Bradespar S.A.,Financial Services,Asset Management,7964137472.0,,,782164992.0,5077388888.936,256000000.0,4210000.0,0.094849996,0.0,0.0,0.0008291663475243933,,0.739,0.0923000952998484,0.9823789701740904,,,10.834225,1.0179371,,7712347136.0,,-142345872.0,0.546,1.87,19.903,Yahoo Finance
BRAV3,,Brava Energia S.A.,Energy,Oil & Gas E&P,8538301952.0,12338900992.0,4716587008.0,54457000.0,12282519616.880001,4614486016.0,18985000960.0,0.0044400003,0.31874,0.00441,1.545692704118193,0.145,-0.173,0.00544069670515216,1.4385202345133228,1.4451235223778602,4.857074685814849,183.79999,0.6951588,4.857,22908815360.0,4716587008.0,1393503872.0,-0.223,0.1,26.44,Yahoo Finance
BRBI11,,BRBI BR Partners S.A.,Financial Services,Capital Markets,,-11578431488.0,,159559008.0,,14837888000.0,17337980928.0,0.19736,0.32103002,0.0,,-0.066,-0.224,0.036363633719008456,0.6373553729121672,,,27.500002,1.5689834,,3770541056.0,,,0.155,0.44,7.712,Yahoo Finance
