date,horizon,source,portfolio,n,stock_return,ibov_return,gross_alpha_vs_ibov,net_alpha_vs_ibov,cdi_return,net_excess_vs_cdi
2024-12-13,5,ranker_v2,top_decile,11,-0.09256489092767067,-0.020142522389496986,-0.07242236853817369,-0.07442236853817369,0.002277722376154756,-0.09684261330382543
2024-12-13,5,momentum_126_baseline,top10,10,-0.060927937512603406,-0.020142522389496986,-0.04078541512310642,-0.04278541512310642,0.002277722376154756,-0.06520565988875816
2024-12-20,5,ranker_v2,top5,5,0.0012466698704317824,-0.016191380976560588,0.01743805084699237,0.015438050846992369,0.0031902633108567002,-0.0039435934404249175
2024-12-20,5,ranker_v2,top10,10,-0.02067776141098543,-0.016191380976560588,-0.0044863804344248415,-0.0064863804344248415,0.0031902633108567002,-0.02586802472184213
2024-12-20,5,ranker_v2,top20,20,-0.02631550714767893,-0.016191380976560588,-0.010124126171118342,-0.012124126171118342,0.0031902633108567002,-0.03150577045853563
2024-12-20,5,ranker_v2,top_decile,11,-0.022994718967481974,-0.016191380976560588,-0.006803337990921385,-0.008803337990921384,0.0031902633108567002,-0.028184982278338676
2024-12-20,5,momentum_126_baseline,top10,10,-0.0032101968491777154,-0.016191380976560588,0.012981184127382871,0.010981184127382871,0.0031902633108567002,-0.008400460160034415
2025-01-02,5,ranker_v2,top5,5,0.02979101690621566,-0.0028636836628511686,0.03265470056906683,0.03065470056906683,0.002277722376154756,0.025513294530060904
2025-01-02,5,ranker_v2,top10,10,0.026252840489725426,-0.0028636836628511686,0.029116524152576595,0.027116524152576593,0.002277722376154756,0.02197511811357067
2025-01-02,5,ranker_v2,top20,20,0.011655520713239071,-0.0028636836628511686,0.01451920437609024,0.01251920437609024,0.002277722376154756,0.007377798337084315
2025-01-02,5,ranker_v2,top_decile,11,0.028060228485494883,-0.0028636836628511686,0.030923912148346052,0.028923912148346054,0.002277722376154756,0.02378250610934013
2025-01-02,5,momentum_126_baseline,top10,10,-0.00037289502219821634,-0.0028636836628511686,0.0024907886406529524,0.0004907886406529524,0.002277722376154756,-0.004650617398352972
2025-01-09,5,ranker_v2,top5,5,-0.00963625904327201,0.012130471443718038,-0.02176673048699005,-0.023766730486990052,0.002277722376154756,-0.013913981419426767
2025-01-09,5,ranker_v2,top10,10,-0.01837436458156294,0.012130471443718038,-0.03050483602528098,-0.03250483602528098,0.002277722376154756,-0.0226520869577177
2025-01-09,5,ranker_v2,top20,20,-0.006546447157689117,0.012130471443718038,-0.018676918601407154,-0.020676918601407156,0.002277722376154756,-0.010824169533843873
2025-01-09,5,ranker_v2,top_decile,11,-0.016895350601354032,0.012130471443718038,-0.02902582204507207,-0.031025822045072073,0.002277722376154756,-0.02117307297750879
2025-01-09,5,momentum_126_baseline,top10,10,0.0012522109820814365,0.012130471443718038,-0.010878260461636601,-0.012878260461636601,0.002277722376154756,-0.00302551139407332
2025-01-16,5,ranker_v2,top5,5,0.02103362852157955,0.010302390418529539,0.010731238103050012,0.008731238103050012,0.002277722376154756,0.01675590614542479
2025-01-16,5,ranker_v2,top10,10,0.01360488755817143,0.010302390418529539,0.003302497139641891,0.001302497139641891,0.002277722376154756,0.009327165182016674
2025-01-16,5,ranker_v2,top20,20,0.015264325486942443,0.010302390418529539,0.004961935068412904,0.0029619350684129036,0.002277722376154756,0.010986603110787687
2025-01-16,5,ranker_v2,top_decile,11,0.013110325308967346,0.010302390418529539,0.002807934890437806,0.0008079348904378061,0.002277722376154756,0.00883260293281259
2025-01-16,5,momentum_126_baseline,top10,10,0.00807932775180945,0.010302390418529539,-0.002223062666720088,-0.0042230626667200885,0.002277722376154756,0.0038016053756546944
2025-01-23,5,ranker_v2,top5,5,0.026606955873299153,0.03616828457826804,-0.009561328704968886,-0.011561328704968886,0.0023130265750914702,0.022293929298207685
2025-01-23,5,ranker_v2,top10,10,0.0314130466978779,0.03616828457826804,-0.00475523788039014,-0.00675523788039014,0.0023130265750914702,0.02710002012278643
2025-01-23,5,ranker_v2,top20,20,0.03964189939584062,0.03616828457826804,0.003473614817572579,0.001473614817572579,0.0023130265750914702,0.035328872820749146
2025-01-23,5,ranker_v2,top_decile,11,0.03481556149776053,0.03616828457826804,-0.0013527230805075098,-0.0033527230805075097,0.0023130265750914702,0.030502534922669057
2025-01-23,5,momentum_126_baseline,top10,10,0.043370954811556006,0.03616828457826804,0.007202670233287967,0.005202670233287967,0.0023130265750914702,0.039057928236464534
2025-01-30,5,ranker_v2,top5,5,-0.012626707879690047,-0.005421036458046036,-0.007205671421644011,-0.00920567142164401,0.002454255806815686,-0.017080963686505732
2025-01-30,5,ranker_v2,top10,10,-0.013012895963937721,-0.005421036458046036,-0.007591859505891685,-0.009591859505891684,0.002454255806815686,-0.017467151770753406
2025-01-30,5,ranker_v2,top20,20,-0.017138559293391205,-0.005421036458046036,-0.011717522835345167,-0.013717522835345167,0.002454255806815686,-0.021592815100206893
2025-01-30,5,ranker_v2,top_decile,11,-0.01369722316508639,-0.005421036458046036,-0.008276186707040355,-0.010276186707040355,0.002454255806815686,-0.01815147897190208
2025-01-30,5,momentum_126_baseline,top10,10,-0.024286903240463575,-0.005421036458046036,-0.01886586678241754,-0.020865866782417537,0.002454255806815686,-0.02874115904727926
2025-02-06,5,ranker_v2,top5,5,-0.02548273305012161,-0.01089324618736387,-0.014589486862757739,-0.01658948686275774,0.002454255806815686,-0.029936988856937297
2025-02-06,5,ranker_v2,top10,10,-0.036939152749167446,-0.01089324618736387,-0.026045906561803576,-0.02804590656180358,0.002454255806815686,-0.041393408555983134
2025-02-06,5,ranker_v2,top20,20,-0.022333846039620554,-0.01089324618736387,-0.011440599852256683,-0.013440599852256683,0.002454255806815686,-0.026788101846436242
2025-02-06,5,ranker_v2,top_decile,11,-0.03887672033598477,-0.01089324618736387,-0.0279834741486209,-0.029983474148620903,0.002454255806815686,-0.04333097614280046
2025-02-06,5,momentum_126_baseline,top10,10,-0.019010165328196958,-0.01089324618736387,-0.00811691914083309,-0.01011691914083309,0.002454255806815686,-0.023464421135012646
