ticker,cnpj,company_name,sector,industry,market_cap,revenue,operating_income,net_income,equity,total_cash,total_debt,roe,operating_margin,profit_margin,debt_to_equity,revenue_growth,earnings_growth,earnings_yield,book_to_price,sales_yield,ev_to_ebit,raw_pe,raw_pb,raw_ev_ebitda,enterprise_value,ebitda,fcf,beta,trailing_eps,book_value_per_share,fundamental_source,price,avg_daily_volume_brl,pe,pb,ev_ebitda,fcf_yield,fcf_margin,debt_to_ebitda,ret_3m,ret_6m,ret_12m,price_to_ma50,price_to_ma200,volatility,max_drawdown,history_days,last_price_date
EVEN3,,Even Construtora e Incorporadora S.A.,Real Estate,Real Estate - Development,904719168.0,1913127936.0,268310000.0,216292992.0,1952883996.876,924040000.0,1495406976.0,0.121929996,0.11031,0.11306,0.7657428594797134,-0.021,-0.394,0.4364035252327645,2.158552688695388,2.1146097083686417,6.866260430099512,2.2914572,0.46327338,6.866,1842286336.0,268310000.0,407412640.0,0.176,1.99,9.843,Yahoo Finance,4.559999942779541,4909470.73839426,2.2914572576781613,0.4632733864451428,6.866260430099512,0.4503194520578567,0.21295629650980122,2.1295030971637283,-0.17418427384057156,-0.39110858009808336,,0.8540664796977796,0.6858030195155215,0.3595473767820199,-0.45931000972256864,251,2026-08-07 00:00:00+00:00
EZTC3,,EZTEC Empreendimentos e Participações S.A.,Real Estate,Real Estate - Development,2984383232.0,1437549952.0,333572000.0,531142016.0,5150279772.363,1793574016.0,1816470016.0,0.10551,0.13019,0.36948,0.3526934644885486,-0.161,-0.225,0.1951672681071312,1.7257434675432524,0.4816908018333216,9.26386512057367,5.12381,0.5794604,9.264,3090166016.0,333572000.0,451775872.0,0.441,2.1,18.569,Yahoo Finance,10.760000228881836,19150558.74069532,5.123809632800874,0.5794604033002227,9.26386512057367,0.15137997933906097,0.3142679469130545,0.06863885458012063,-0.15879067582730966,-0.29772092327280975,,0.8671824792406131,0.7770644106527798,0.3685015812352305,-0.3428160103745188,251,2026-08-07 00:00:00+00:00
FESA4,,Cia de Ferro Ligas da Bahia S.A. - FERBASA,Basic Materials,Steel,1924767872.0,2290977024.0,114080000.0,161674000.0,2142976706.0,997934976.0,396638016.0,0.04873,-0.025409998,0.07057,0.1850874136379903,-0.079,,0.0792253535074886,1.705105717407032,1.190261463383362,11.616593548387096,12.622222,0.5864739,11.617,1325220992.0,114080000.0,119448376.0,0.249,0.45,9.685,Yahoo Finance,5.679999828338623,4289630.537025133,12.622221840752495,0.5864739110313498,11.616593548387097,0.06205858781084226,0.052138618043163755,-5.270835904628331,-0.21870703669317693,-0.3189448771681225,,0.9430516140641042,0.8107466335359125,0.3325018817853294,-0.3463751320356119,251,2026-08-07 00:00:00+00:00
FIQE3,,Unifique Telecomunicações S.A.,Communication Services,Telecom Services,2048158208.0,1244935936.0,561736000.0,222931008.0,1169319233.082,705374976.0,1238998016.0,0.18761998,0.28045,0.17907,1.0595891874063732,0.22,0.376,0.1178707219852824,0.5709125317470186,0.6078319199841812,4.5934845407807225,8.483871,1.7515818,4.593,2580325632.0,561736000.0,101033624.0,0.178,0.62,3.003,Yahoo Finance,5.260000228881836,3757323.363494873,8.483871336906187,1.751581827799479,4.5934845407807225,0.049329013552453074,0.08115568125105516,0.9499534300810345,-0.20029450799569926,0.07109146751110962,,0.9220273238921015,0.973544529616806,0.33439662511466295,-0.306367286501923,251,2026-08-07 00:00:00+00:00
FLRY3,,Fleury S.A.,Healthcare,Diagnostics & Research,10301717504.0,8499227136.0,1887942016.0,634756992.0,5182388640.863999,2150204928.0,5357033984.0,0.11672,0.16370001,0.07468,1.0336997773109668,0.103,0.122,0.0612137161818703,0.5030606714310537,0.8250301110178841,7.205487192250718,16.336208,1.9878318,7.205,13603542016.0,1887942016.0,588469760.0,0.214,1.16,9.533,Yahoo Finance,18.950000762939453,44137299.52699661,16.33620755425815,1.9878318224000266,7.205487192250718,0.05712346118707935,0.06923803195086184,1.6985845056800728,0.15973075801582515,0.14987871901166017,,1.1914343012590047,1.2045592326255397,0.2744383475710068,-0.1860724771197868,251,2026-08-07 00:00:00+00:00
FRAS3,,Frasle Mobility S.A.,Consumer Cyclical,Auto Parts,5663182848.0,5409324032.0,908953984.0,253284000.0,2406436584.607,1229209984.0,2984201984.0,0.1121,0.117869996,0.04682,1.2400916787455492,-0.061,-0.373,0.0440744346682451,0.4249265302029279,0.9551738266600994,8.183177413742433,22.68889,2.353348,8.183,7438131712.0,908953984.0,983387264.0,0.014,0.9,8.677,Yahoo Finance,20.420000076293945,4879801.451565424,22.68888897365994,2.35334794010533,8.183177413742433,0.17364568483733336,0.1817948524034731,1.9307820097524322,-0.0667893925313765,-0.13330758990064084,,0.9820406258459652,0.9156329478550764,0.256620284487049,-0.24191491231201379,251,2026-08-07 00:00:00+00:00
GFSA3,,Gafisa S.A.,Consumer Cyclical,Residential Construction,36194484.0,492782016.0,-367739008.0,-611320000.0,9842380723.92,28799000.0,1627348992.0,-0.34651002,-0.08289,-1.24055,0.1653409919456827,-0.559,,-16.889866422739995,271.93042757905346,13.614837443186094,,,0.0036774112,-4.362,1604215296.0,-367739008.0,42980124.0,0.208,-74.47,62.544,Yahoo Finance,0.23000000417232513,806943.8979717344,,0.003677411169294019,-4.362,1.1874771857501822,0.08721934365396972,,-0.828358210117043,-0.9411764708124141,,0.2987789086102993,0.08172402288668103,0.798344398893014,-0.9865967362344114,251,2026-08-07 00:00:00+00:00
GGBR4,,Gerdau S.A.,Basic Materials,Steel,49176797184.0,69543739392.0,9993178112.0,2237081088.0,33424766912.04,5449220096.0,15170434048.0,0.041810002,0.12746,0.03217,0.453868058015849,0.02,0.735,0.0459081850988642,1.0707385569099686,1.4141575575122352,5.912942184533336,21.782608,0.9339348,5.913,59089084416.0,9993178112.0,2647796480.0,0.907,1.15,26.822,Yahoo Finance,25.049999237060547,236712389.29052988,21.782608032226562,0.9339348011729381,5.912942184533336,0.053842393803992555,0.038073829551716495,0.972785018244254,0.06512378216752057,0.1329494498600916,,1.0754857639096798,1.1854933026972936,0.26466332630331085,-0.2632639720037959,251,2026-08-07 00:00:00+00:00
GGPS3,,GPS Participações e Empreendimentos S.A.,Industrials,Specialty Business Services,8749836288.0,17662955520.0,1809641984.0,660617024.0,4122128318.273,3766022912.0,6265290240.0,0.17129,0.075430006,0.0374,1.519916352973916,0.093,-0.163,0.0808254541986398,0.4711092044798151,2.0186612570367672,6.231990939485188,12.37234,2.1226501,6.232,11277672448.0,1809641984.0,-146820880.0,0.261,0.94,5.479,Yahoo Finance,11.630000114440918,37708317.65438874,12.372340547277574,2.122650139521978,6.231990939485188,-0.01677984309276256,-0.008312361984592712,1.3810838553135603,-0.19179987234416784,-0.37405811828867097,,0.9762444412647651,0.7518978740230668,0.3106017239477674,-0.4245524072106561,251,2026-08-07 00:00:00+00:00
GMAT3,,Grupo Mateus S.A.,Consumer Cyclical,Department Stores,8590142464.0,39495368704.0,2449390080.0,1773538048.0,10950704155.02,1984237952.0,6692410880.0,0.16014999,0.040900003,0.044899996,0.6111397756035696,0.129,-0.25,0.2117962460809752,1.274798983322315,4.597754795047832,5.858295367963604,4.721519,0.7844374,5.858,14349250560.0,2449390080.0,1434168320.0,0.455,0.79,4.755,Yahoo Finance,3.7300000190734863,18892381.713273525,4.721519011485426,0.784437438290954,5.858295367963604,0.16695512629858988,0.03631231628063649,1.922181757182588,-0.1503416554635275,-0.24340767769753224,,0.957392203427035,0.7904313812560619,0.3980224356734828,-0.5244069135134919,251,2026-08-07 00:00:00+00:00
GOAU4,,Metalurgica Gerdau S.A.,Basic Materials,Steel,14560741376.0,69543739392.0,9867432960.0,1333965952.0,12067490440.96,5471215104.0,15170434048.0,0.04168,0.12833,0.01918,1.2571324686123515,0.02,0.725,0.0336058114933085,1.3115349234207874,4.77611253412046,5.961445035447193,29.756758,0.7624654,5.961,58824159232.0,9867432960.0,2670830848.0,0.87,0.37,14.44,Yahoo Finance,11.010000228881836,84382586.85419083,29.756757375356315,0.7624653898117615,5.961445035447193,0.18342684476233087,0.03840505085504851,0.9829526061457021,0.06702272225030392,0.1117688201673448,,1.0784390752937998,1.1858592531718193,0.2712413763891508,-0.25300167817602637,251,2026-08-07 00:00:00+00:00
GRND3,,Grendene S.A.,Consumer Cyclical,Footwear & Accessories,3211689472.0,2584340992.0,275390016.0,644808000.0,3173798880.0,1058073984.0,70567000.0,0.17924,0.08727,0.24951,0.0222342381064801,-0.18,-0.245,0.1966292129308168,0.9882022486344528,0.8046671431128943,11.712771344622748,5.0857143,1.0119386,11.713,3225580288.0,275390016.0,1214306688.0,0.4,0.7,3.518,Yahoo Finance,3.559999942779541,10197139.23609972,5.085714203970773,1.011938585213059,11.712771344622748,0.37808969347332966,0.46987092328720065,-3.585848892938806,-0.1162129410094892,-0.2520717427423511,,0.9354143515247261,0.8539418180792904,0.2790572319090967,-0.281064477917667,251,2026-08-07 00:00:00+00:00
HAPV3,,Hapvida Participações e Investimentos S.A.,Financial Services,Insurance - Life,5116697088.0,31848921088.0,2371399936.0,-428847008.0,48154912584.8,8330386944.0,16215185408.0,-0.00885,0.06616,-0.013459999,0.3367296198377544,0.035,,-0.0838132491770441,9.411327577396758,6.224507830001134,5.483174698036257,,0.106254935,5.483,13002800128.0,2371399936.0,-512573248.0,0.256,-0.87,101.36,Yahoo Finance,10.770000457763672,59264799.518966675,,0.10625493742860766,5.483174698036257,-0.1001765864158969,-0.016093896762899348,3.3249551643742645,-0.05856635902054641,-0.1356339948001023,,0.989616878084103,0.7673181242564919,0.695529098406379,-0.8031647034678717,251,2026-08-07 00:00:00+00:00
HBOR3,,Helbor Empreendimentos S.A.,Real Estate,Real Estate Services,254771744.0,1175863040.0,128412000.0,5619000.0,1447687306.92,288247008.0,1988977024.0,0.02874,0.12222,0.00478,1.3738996083564556,0.158,-0.745,0.0208333333333333,5.682291490870774,4.615358915155049,25.96224402703797,48.0,0.17598534,25.962,3333863680.0,128412000.0,-695872384.0,1.065,0.04,10.91,Yahoo Finance,1.9199999570846558,2118127.95265615,47.999998927116394,0.17598533062187496,25.962244027037972,-2.731356205655208,-0.5917971399118047,13.244323085069931,-0.16157205717548317,-0.2858355968019025,,0.9149828239944681,0.7417773542315397,0.6902329065821629,-0.603268242746716,251,2026-08-07 00:00:00+00:00
HBRE3,,HBR Realty Empreendimentos Imobiliários S.A.,Real Estate,Real Estate Services,228629136.0,555564032.0,188768000.0,36482000.0,1810289595.488,15871000.0,1708547968.0,0.03977,0.48349997,0.06567,0.9437981482401584,0.087,,0.1306306206273849,7.918017480448831,2.429979143165725,14.614291235802678,7.655173,0.12629424,14.614,2758710528.0,188768000.0,282289504.0,,0.29,17.578,Yahoo Finance,2.2200000286102295,1020441.5131509304,7.6551725124490675,0.12629423305326143,14.614291235802678,1.2347048540654941,0.5081133546096807,8.9669698677742,-0.2318339280185462,-0.3508771990976345,,0.9337146851353143,0.6957433905212895,0.5387549132745619,-0.5542228126520926,251,2026-08-07 00:00:00+00:00
HBSA3,,Hidrovias do Brasil S.A.,Industrials,Integrated Freight & Logistics,4149166848.0,2204657920.0,812393024.0,14110000.0,2005204015.782,918598016.0,3717417984.0,0.00955,0.22266,-0.0787,1.8538851681634307,-0.076,,0.0032786885245901,0.4832786551862855,0.531349545767893,8.552494591583297,305.0,2.0691996,8.552,6947986944.0,812393024.0,-187266000.0,0.33,0.01,1.474,Yahoo Finance,3.049999952316284,6034943.405649662,304.9999952316284,2.0691994249092835,8.552494591583297,-0.04513339830869101,-0.08494106877134028,3.4451550977375205,-0.11849713332669987,-0.2336683573618924,,0.9096331444173639,0.822612386284797,0.3676172196487495,-0.3196347166182971,251,2026-08-07 00:00:00+00:00
