ticker,cnpj,company_name,sector,industry,market_cap,revenue,operating_income,net_income,equity,total_cash,total_debt,roe,operating_margin,profit_margin,debt_to_equity,revenue_growth,earnings_growth,earnings_yield,book_to_price,sales_yield,ev_to_ebit,raw_pe,raw_pb,raw_ev_ebitda,enterprise_value,ebitda,fcf,beta,trailing_eps,book_value_per_share,fundamental_source,price,avg_daily_volume_brl,pe,pb,ev_ebitda,fcf_yield,fcf_margin,debt_to_ebitda,ret_3m,ret_6m,ret_12m,price_to_ma50,price_to_ma200,volatility,max_drawdown,history_days,last_price_date,model_group,__quality_roe,__quality_operating_margin,__quality_profit_margin,__quality_debt_to_equity,quality_score,quality_coverage,__growth_revenue_growth,__growth_earnings_growth,growth_score,growth_coverage,__valuation_earnings_yield,__valuation_book_to_price,__valuation_sales_yield,__valuation_ev_to_ebit,valuation_score,valuation_coverage,__momentum_ret_3m,__momentum_ret_6m,__momentum_ret_12m,__momentum_price_to_ma50,__momentum_price_to_ma200,momentum_score,momentum_coverage,__risk_volatility,__risk_max_drawdown,risk_score,risk_coverage,__weighted_quality,__weighted_growth,__weighted_valuation,__weighted_momentum,__weighted_risk,score,data_coverage,has_quality,has_valuation,has_momentum,n_components,data_quality,signal,entry_watch_low,entry_watch_high,max_position_pct,in_portfolio,action
MOTV3,,Motiva Infraestrutura de Mobilidade S.A.,Industrials,Infrastructure Operations,29124020224.0,20122644480.0,9126241280.0,3378234880.0,17743744864.295998,10485000192.0,44183998464.0,0.21971,0.35694999,0.1927,2.490116872279151,0.199,0.584,0.1159420289855072,0.6092477471846053,0.690929491369385,6.917527093037803,8.625,1.6413684,6.918,63131021312.0,9126241280.0,-6100474368.0,0.287,1.68,8.828,Yahoo Finance,14.489999771118164,121607564.57910536,8.624999863760813,1.641368347430694,6.917527093037803,-0.20946539389410362,-0.3031646448886623,3.6925386079645706,-0.062135925566243366,-0.13081772044553963,,1.0041301557981486,0.9393158194320275,0.28170222970446446,-0.22098191697558656,251,2026-08-07 00:00:00+00:00,general,81.48148148148148,88.88888888888889,92.5925925925926,25.925925925925924,72.22222222222223,1.0,81.48148148148148,83.33333333333334,82.40740740740742,1.0,74.07407407407408,44.44444444444444,29.629629629629626,33.33333333333334,45.370370370370374,1.0,55.55555555555556,59.25925925925925,,62.96296296296296,62.96296296296296,60.18518518518518,0.8,88.88888888888889,77.77777777777779,83.33333333333334,1.0,18.055555555555557,16.481481481481485,9.074074074074074,12.037037037037038,12.500000000000002,68.14814814814815,0.96,True,True,True,5,OK,NEUTRO,14.077583221575752,14.489999771118164,5.0,False,AGUARDAR
LOGG3,,LOG Commercial Properties e Participações S.A.,Real Estate,Real Estate Services,2207587584.0,268840992.0,170922000.0,402327008.0,3741708285.543,50441000.0,2359699968.0,0.11023,0.71143997,1.4965199,0.6306477651176803,0.224,0.538,0.1821782156572885,1.6949307671629537,0.1217804421208413,26.599889072208377,5.4891305,0.5899946,26.6,4546506240.0,170922000.0,-15936125.0,0.399,4.6,42.797,Yahoo Finance,25.25,15571548.75,5.489130434782609,0.5899946257915275,26.599889072208377,-0.007218796262264175,-0.05927713955169456,13.51060113970115,0.06908680074797391,0.021314940269964833,,0.9485821146280078,1.0713540261270913,0.3004600354260697,-0.12323014806452692,251,2026-08-07 00:00:00+00:00,general,35.294117647058826,94.11764705882352,100.0,76.47058823529412,76.47058823529412,1.0,58.82352941176471,68.75,63.786764705882355,1.0,47.05882352941176,70.58823529411765,5.88235294117647,0.0,30.88235294117647,1.0,94.11764705882352,88.23529411764706,,58.82352941176471,88.23529411764706,82.3529411764706,0.8,76.47058823529412,100.0,88.23529411764706,1.0,19.11764705882353,12.757352941176471,6.176470588235294,16.47058823529412,13.235294117647058,67.75735294117648,0.96,True,True,True,5,OK,NEUTRO,24.483476422436787,25.25,5.0,False,AGUARDAR
LEVE3,,MAHLE Metal Leve S.A.,Consumer Cyclical,Auto Parts,4352157696.0,5396401152.0,935900032.0,664252992.0,1071164717.0,517776000.0,1541396992.0,0.67706,0.1586,0.12309,1.4389915645438498,-0.008,0.35,0.1526004412289157,0.2461227059517885,1.2399369528727664,5.74634719961202,6.553061,4.063014,5.746,5378006528.0,935900032.0,88214000.0,0.324,4.9,7.903,Yahoo Finance,32.11000061035156,7076616.001180013,6.5530613490513385,4.0630141225296175,5.74634719961202,0.020269026575272332,0.0163468203188168,1.0937289849350065,-0.0668410127073431,-0.0066513205518276,,0.9926241140254924,1.0001632341420306,0.2304811227385823,-0.12275278424692837,251,2026-08-07 00:00:00+00:00,general,100.0,77.27272727272727,63.63636363636363,9.090909090909093,62.49999999999999,1.0,36.36363636363637,89.47368421052632,62.91866028708134,1.0,54.54545454545454,4.545454545454546,50.0,68.18181818181819,44.31818181818182,1.0,59.09090909090909,95.45454545454545,,72.72727272727273,90.9090909090909,79.54545454545456,0.8,95.45454545454545,100.0,97.72727272727272,1.0,15.624999999999998,12.583732057416269,8.863636363636365,15.909090909090914,14.659090909090907,67.64055023923444,0.96,True,True,True,5,OK,NEUTRO,31.362256336391912,32.11000061035156,5.0,False,AGUARDAR
GOAU4,,Metalurgica Gerdau S.A.,Basic Materials,Steel,14560741376.0,69543739392.0,9867432960.0,1333965952.0,12067490440.96,5471215104.0,15170434048.0,0.04168,0.12833,0.01918,1.2571324686123515,0.02,0.725,0.0336058114933085,1.3115349234207874,4.77611253412046,5.961445035447193,29.756758,0.7624654,5.961,58824159232.0,9867432960.0,2670830848.0,0.87,0.37,14.44,Yahoo Finance,11.010000228881836,84382586.85419083,29.756757375356315,0.7624653898117615,5.961445035447193,0.18342684476233087,0.03840505085504851,0.9829526061457021,0.06702272225030392,0.1117688201673448,,1.0784390752937998,1.1858592531718193,0.2712413763891508,-0.25300167817602637,251,2026-08-07 00:00:00+00:00,general,47.368421052631575,68.42105263157895,52.63157894736842,47.36842105263158,53.94736842105263,1.0,60.526315789473685,66.66666666666666,63.59649122807017,1.0,47.368421052631575,52.63157894736842,89.47368421052632,52.631578947368425,60.526315789473685,1.0,94.73684210526315,94.73684210526315,,94.73684210526315,94.73684210526315,94.73684210526315,0.8,63.15789473684211,73.68421052631578,68.42105263157895,1.0,13.486842105263158,12.719298245614034,12.105263157894738,18.94736842105263,10.26315789473684,67.5219298245614,0.96,True,True,True,5,OK,NEUTRO,10.70826870314459,11.010000228881836,5.0,False,AGUARDAR
CXSE3,,Caixa Seguridade Participações S.A.,Financial Services,Insurance - Diversified,57959997440.0,5845867008.0,4747205120.0,4391418880.0,13773000000.0,1076427008.0,10022000.0,0.31588,0.81757003,0.7512,0.0007276555579757,0.076,0.095,0.0755693622459698,0.2376294052511441,0.1008603738130185,11.9846508018596,13.232876,4.2082334,11.985,56893595648.0,4747205120.0,3733822976.0,0.083,1.46,4.591,Yahoo Finance,19.31999969482422,111435117.8397878,13.23287650330426,4.20823343385411,11.9846508018596,0.06442068911174886,0.638711583908821,-0.2246384938176002,0.12962493541531428,0.1216236387256342,,0.9828445582698103,1.1239889872305504,0.21936937922494115,-0.12358427314232501,251,2026-08-07 00:00:00+00:00,financial,90.47619047619048,,,,90.47619047619048,1.0,,55.00000000000001,55.00000000000001,1.0,23.809523809523807,9.523809523809524,,,16.666666666666664,1.0,95.23809523809523,95.23809523809523,,42.857142857142854,95.23809523809523,82.14285714285714,0.8,90.47619047619048,95.23809523809523,92.85714285714286,1.0,22.61904761904762,11.000000000000002,3.333333333333333,16.428571428571427,13.928571428571429,67.30952380952381,0.96,True,True,True,5,OK,NEUTRO,18.891786009519585,19.31999969482422,5.0,False,AGUARDAR
TAEE4,,Transmissora Aliança de Energia Elétrica S.A.,Utilities,Utilities - Regulated Electric,13673160704.0,4678574080.0,2324641024.0,1568348032.0,10230050391.808,1603660032.0,11855298560.0,0.20559,0.58442,0.33521998,1.1588700061041206,0.055,-0.032,0.1148904054677722,1.746334139033694,0.3421720976797495,6.370600538795275,8.703947,0.5726281,6.371,14809359360.0,2324641024.0,851601280.0,-0.004,1.52,23.104,Yahoo Finance,13.229999542236328,2316087.8198623657,8.703947067260742,0.572628096530312,6.370600538795275,0.062282693697212906,0.18202154447878274,4.409987788290877,-0.035269004025223705,-0.019327005588340107,,0.9840820832505525,0.9793820133777973,0.21107989425533566,-0.1307533330114543,251,2026-08-07 00:00:00+00:00,general,73.68421052631578,94.73684210526315,94.73684210526315,52.631578947368425,78.94736842105263,1.0,21.052631578947366,50.0,35.526315789473685,1.0,73.68421052631578,84.21052631578947,21.052631578947366,68.42105263157895,61.84210526315789,1.0,78.94736842105263,73.68421052631578,,63.1578947368421,68.42105263157895,71.05263157894737,0.8,89.47368421052632,94.73684210526315,92.10526315789474,1.0,19.736842105263158,7.105263157894737,12.368421052631579,14.210526315789474,13.81578947368421,67.23684210526315,0.96,True,True,True,5,OK,NEUTRO,12.947846902065633,13.229999542236328,5.0,False,AGUARDAR
FLRY3,,Fleury S.A.,Healthcare,Diagnostics & Research,10301717504.0,8499227136.0,1887942016.0,634756992.0,5182388640.863999,2150204928.0,5357033984.0,0.11672,0.16370001,0.07468,1.0336997773109668,0.103,0.122,0.0612137161818703,0.5030606714310537,0.8250301110178841,7.205487192250718,16.336208,1.9878318,7.205,13603542016.0,1887942016.0,588469760.0,0.214,1.16,9.533,Yahoo Finance,18.950000762939453,44137299.52699661,16.33620755425815,1.9878318224000266,7.205487192250718,0.05712346118707935,0.06923803195086184,1.6985845056800728,0.15973075801582515,0.14987871901166017,,1.1914343012590047,1.2045592326255397,0.2744383475710068,-0.1860724771197868,251,2026-08-07 00:00:00+00:00,general,66.66666666666666,66.66666666666666,55.55555555555556,44.44444444444444,58.33333333333333,1.0,55.55555555555556,50.0,52.77777777777778,1.0,33.33333333333333,44.44444444444444,44.44444444444444,44.44444444444444,41.666666666666664,1.0,100.0,88.88888888888889,,100.0,100.0,97.22222222222223,0.8,88.88888888888889,100.0,94.44444444444444,1.0,14.583333333333332,10.555555555555557,8.333333333333334,19.444444444444446,14.166666666666666,67.08333333333334,0.96,True,True,True,5,OK,NEUTRO,18.424550699467435,18.950000762939453,5.0,False,AGUARDAR
FIQE3,,Unifique Telecomunicações S.A.,Communication Services,Telecom Services,2048158208.0,1244935936.0,561736000.0,222931008.0,1169319233.082,705374976.0,1238998016.0,0.18761998,0.28045,0.17907,1.0595891874063732,0.22,0.376,0.1178707219852824,0.5709125317470186,0.6078319199841812,4.5934845407807225,8.483871,1.7515818,4.593,2580325632.0,561736000.0,101033624.0,0.178,0.62,3.003,Yahoo Finance,5.260000228881836,3757323.363494873,8.483871336906187,1.751581827799479,4.5934845407807225,0.049329013552453074,0.08115568125105516,0.9499534300810345,-0.20029450799569926,0.07109146751110962,,0.9220273238921015,0.973544529616806,0.33439662511466295,-0.306367286501923,251,2026-08-07 00:00:00+00:00,general,100.0,83.33333333333334,100.0,16.666666666666657,75.0,1.0,83.33333333333334,100.0,91.66666666666667,1.0,100.0,50.0,33.33333333333333,66.66666666666667,62.5,1.0,16.666666666666664,66.66666666666666,,50.0,66.66666666666666,49.99999999999999,0.8,50.0,50.0,50.0,1.0,18.75,18.333333333333336,12.5,10.0,7.5,67.08333333333334,0.96,True,True,True,5,OK,NEUTRO,5.082284826154058,5.260000228881836,5.0,False,AGUARDAR
MDNE3,,Moura Dubeux Engenharia S.A.,Real Estate,Real Estate Services,2582462720.0,2545797120.0,561665024.0,506355008.0,2125916494.276,518863008.0,913219968.0,0.2716,0.25045002,0.1989,0.4295653053442276,0.43,0.877,0.2277108481197562,0.823212823482508,0.9858020796520928,5.273418826948356,4.3915343,1.2147527,5.273,2961894912.0,561665024.0,-483546368.0,0.336,5.67,20.498,Yahoo Finance,24.899999618530273,28743605.059645973,4.3915343242557805,1.214752640185885,5.2734188269483555,-0.18724234206951107,-0.1899390820270863,0.7021212700614948,-0.1413793234989561,-0.136615829168228,,0.9331364491203226,0.9094635163792851,0.4499617294789738,-0.30688444938826853,251,2026-08-07 00:00:00+00:00,general,70.58823529411765,64.70588235294117,58.82352941176471,88.23529411764706,70.58823529411765,1.0,100.0,93.75,96.875,1.0,76.47058823529412,41.17647058823529,58.82352941176471,76.47058823529412,63.23529411764706,1.0,35.294117647058826,70.58823529411765,,52.94117647058824,64.70588235294117,55.88235294117648,0.8,17.64705882352942,58.82352941176471,38.235294117647065,1.0,17.647058823529413,19.375,12.647058823529413,11.176470588235297,5.73529411764706,66.58088235294119,0.96,True,True,True,5,OK,NEUTRO,23.767984207897772,24.899999618530273,5.0,False,AGUARDAR
ABEV3,,Ambev S.A.,Consumer Defensive,Beverages - Brewers,239209250816.0,88268292096.0,26785636352.0,16246909952.0,88312723945.065,18346395648.0,2948960000.0,0.184,0.23743,0.18406,0.0333922437024409,0.003,0.246,0.0665374686458813,0.3691860625025358,0.3690003283522511,8.377319112795517,15.029126,2.7086613,8.377,224391823360.0,26785636352.0,19859091456.0,0.262,1.03,5.715,Yahoo Finance,15.479999542236328,420111062.5767708,15.029125769161483,2.7086613372242043,8.377319112795517,0.08301974688794805,0.2249855637220372,-0.5748392700347521,-0.04473210583351761,0.014581904177629834,,0.9644672682035378,1.044985205410605,0.2530576435579273,-0.1357057309877837,251,2026-08-07 00:00:00+00:00,general,80.0,80.0,93.33333333333333,93.33333333333333,86.66666666666666,1.0,40.0,61.53846153846154,50.769230769230774,1.0,53.333333333333336,6.666666666666667,6.666666666666667,0.0,16.666666666666668,1.0,100.0,93.33333333333333,,46.666666666666664,93.33333333333333,83.33333333333333,0.8,86.66666666666667,100.0,93.33333333333334,1.0,21.666666666666664,10.153846153846155,3.333333333333334,16.666666666666668,14.000000000000002,65.82051282051282,0.96,True,True,True,5,OK,NEUTRO,15.084206801555387,15.479999542236328,5.0,False,AGUARDAR
