date,horizon,top_fraction,n,precision,stock_return,net_alpha_vs_ibov,net_excess_vs_cdi,avg_model_score,fold
2025-08-08,20,0.1,11,0.36363636363636365,0.0293056114405297,-0.022189286030646717,0.01622147085010075,0.34104603601122335,3
2025-09-05,20,0.1,11,0.2727272727272727,-0.11692440709384978,-0.12986804141802244,-0.13000854768427894,0.36839300282904935,3
2025-10-03,20,0.1,11,0.6363636363636364,0.06625694603675555,0.02723223747024081,0.05317280544632616,0.3635887256841172,3
2025-10-31,20,0.1,11,0.5454545454545454,0.056672322884083595,-0.005987032472342708,0.043588182293654645,0.3483596135675652,3
2025-12-01,20,0.1,11,0.36363636363636365,-0.02062055485140105,-0.03477608000413315,-0.03481984434858801,0.34230430426593567,3
2026-01-02,20,0.1,11,0.45454545454545453,0.1250668349680249,-0.006652423280749607,0.11198269437759573,0.3621830115954801,3
2026-01-30,20,0.1,11,0.18181818181818182,-0.05338121494031234,-0.06498069444010279,-0.06646535553074151,0.3578951759968279,3
2026-03-03,20,0.1,11,0.09090909090909091,-0.04193017664125925,-0.06772526689002373,-0.05493565042305209,0.34609574020754164,3
2026-03-31,20,0.1,11,0.2727272727272727,0.010557368624065956,0.009325524303616975,-0.002343215421268271,0.35106231292673384,3
2026-04-30,20,0.1,11,0.18181818181818182,-0.09714995578747733,-0.026919844426049125,-0.109884309413685,0.3566688888185771,3
2026-05-29,20,0.1,11,0.18181818181818182,-0.0618501897552922,-0.060495527753312774,-0.0745143167662182,0.3368151887500935,3
2026-06-29,20,0.1,11,0.18181818181818182,-0.005949113550587248,-0.020246680018067953,-0.01850790978736072,0.35340102787014444,3
2023-06-12,60,0.1,11,0.45454545454545453,0.030858098365222655,0.025099661056979555,-0.0016608773542406158,0.28537020635995713,1
2023-09-04,60,0.1,11,0.0,-0.015875694089267076,-0.105549857975255,-0.04647805221328709,0.316964060462534,1
2023-12-01,60,0.1,11,0.45454545454545453,-0.04087965243264671,-0.051286949685638544,-0.0696934076100251,0.2791572154109405,1
2024-03-01,60,0.1,11,0.2727272727272727,-0.06138070290329345,-0.021578566349647388,-0.0878787324324598,0.33106830981337904,1
2024-05-28,60,0.1,11,0.2727272727272727,0.7810480654342572,0.6765759374652799,0.7552110239148563,0.33471479009109545,2
2024-08-21,60,0.1,11,0.36363636363636365,-0.02982807290805385,0.03214484302581881,-0.05612437828761403,0.3267652729715875,2
2024-11-13,60,0.1,11,0.18181818181818182,-0.01915373222106083,0.0014244380390108658,-0.04950755886038234,0.3326846007255194,2
2025-02-13,60,0.1,11,0.36363636363636365,-0.008131429083583875,-0.12614264253973115,-0.04145817789796967,0.33400796862845594,2
2025-05-15,60,0.1,11,0.2727272727272727,-0.1568975120903098,-0.13434499798750646,-0.1923054297105993,0.3233958186670188,2
2025-05-22,60,0.2,22,0.5,0.02251461077056307,0.027304001255217723,-0.012937978273577988,0.3675733953037534,3
2025-08-15,60,0.2,22,0.36363636363636365,0.06584776468221047,-0.066142480365134,0.03022540661577948,0.3261508850035701,3
2025-11-07,60,0.2,22,0.2727272727272727,0.13263236837908202,-0.05686114081190344,0.09587000346621302,0.33852507056664416,3
2026-02-06,60,0.2,22,0.2727272727272727,-0.030464208269144696,-0.03879380652003289,-0.06572912788244795,0.3556493479875002,3
2026-05-08,60,0.2,22,0.2727272727272727,-0.020249583471817763,0.011496913149730508,-0.055045908461687276,0.421137023574267,3
