ticker,sector,datetime,raw_score_20d,rank_score_20d,confirm_20d,raw_score_60d,rank_score_60d,confirm_60d,qlib_v4_ensemble_rank,qlib_v4_confirm,qlib_v4_status
AZEV3,Industrials,2026-08-07,0.32213852256420894,9.433962264150944,False,0.2945622112736242,0.9433962264150944,False,5.188679245283019,False,NAO_CONFIRMA
AZEV4,Industrials,2026-08-07,0.33424524571967584,33.490566037735846,False,0.3028008548227426,3.7735849056603774,False,18.632075471698112,False,NAO_CONFIRMA
AZZA3,Consumer Cyclical,2026-08-07,0.33731474773075043,41.0377358490566,False,0.30508064877933444,10.377358490566039,False,25.70754716981132,False,NAO_CONFIRMA
B3SA3,Financial Services,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32008100066621803,54.24528301886793,False,66.0377358490566,False,NAO_CONFIRMA
BBAS3,Financial Services,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32584008826903804,79.24528301886792,False,78.5377358490566,False,NAO_CONFIRMA
BBDC3,Financial Services,2026-08-07,0.43152108631622127,100.0,True,0.31464967000725713,35.37735849056604,False,67.68867924528303,False,NAO_CONFIRMA
BBDC4,Financial Services,2026-08-07,0.4305292943734067,99.05660377358491,True,0.31464967000725713,35.37735849056604,False,67.21698113207547,False,NAO_CONFIRMA
BBSE3,Financial Services,2026-08-07,0.3176638965027052,4.245283018867925,False,0.31725983987626627,41.509433962264154,False,22.87735849056604,False,NAO_CONFIRMA
BEEF3,Consumer Defensive,2026-08-07,0.33731474773075043,41.0377358490566,False,0.30939436355885536,24.056603773584907,False,32.54716981132076,False,NAO_CONFIRMA
BHIA3,Consumer Cyclical,2026-08-07,0.3376043350315909,50.47169811320755,False,0.312781493012205,33.9622641509434,False,42.216981132075475,False,NAO_CONFIRMA
BLAU3,Healthcare,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32008100066621803,54.24528301886793,False,66.0377358490566,False,NAO_CONFIRMA
BMGB4,Financial Services,2026-08-07,0.3294766100742007,17.452830188679243,False,0.32164574812142005,65.56603773584906,False,41.509433962264154,False,NAO_CONFIRMA
BMOB3,Communication Services,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32008100066621803,54.24528301886793,False,66.0377358490566,False,NAO_CONFIRMA
BPAC11,Financial Services,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32008100066621803,54.24528301886793,False,66.0377358490566,False,NAO_CONFIRMA
